precinct,method,candidate,votes
Springfield 2-2,Provisional,DAVE SUNDAY(REP),****
Springfield 2-2,Total,EUGENE DEPASQUALE(DEM),603
Springfield 2-2,Total,DAVE SUNDAY(REP),162
Skippack 2,Election Day,ROBERT COWBURN(LIB),18
Skippack 2,Election Day,RICHARD L WEISS(GRE),7
Skippack 2,Election Day,JUSTIN L MAGILL(CON),2
Skippack 2,Election Day,ERIC L SETTLE(FOR),3
Skippack 2,Election Day,Unresolved Write-In,0
Skippack 2,Mail-in,ROBERT COWBURN(LIB),4
Skippack 2,Mail-in,RICHARD L WEISS(GRE),6
Skippack 2,Mail-in,JUSTIN L MAGILL(CON),0
Skippack 2,Mail-in,ERIC L SETTLE(FOR),3
Skippack 2,Mail-in,Unresolved Write-In,1
Skippack 2,Provisional,ROBERT COWBURN(LIB),0
Skippack 2,Provisional,RICHARD L WEISS(GRE),0
Skippack 2,Provisional,JUSTIN L MAGILL(CON),0
Skippack 2,Provisional,ERIC L SETTLE(FOR),0
Skippack 2,Provisional,Unresolved Write-In,0
Skippack 2,Total,ROBERT COWBURN(LIB),22
Skippack 2,Total,RICHARD L WEISS(GRE),13
Skippack 2,Total,JUSTIN L MAGILL(CON),2
Skippack 2,Total,ERIC L SETTLE(FOR),6
Skippack 2,Total,Unresolved Write-In,1
Skippack 3,Election Day,ROBERT COWBURN(LIB),19
Skippack 3,Election Day,RICHARD L WEISS(GRE),10
Skippack 3,Election Day,JUSTIN L MAGILL(CON),8
Skippack 3,Election Day,ERIC L SETTLE(FOR),2
Skippack 3,Election Day,Unresolved Write-In,0
Skippack 3,Mail-in,ROBERT COWBURN(LIB),6
Skippack 3,Mail-in,RICHARD L WEISS(GRE),6
Skippack 3,Mail-in,JUSTIN L MAGILL(CON),2
Skippack 3,Mail-in,ERIC L SETTLE(FOR),2
Skippack 3,Mail-in,Unresolved Write-In,2
Skippack 3,Provisional,ROBERT COWBURN(LIB),0
Skippack 3,Provisional,RICHARD L WEISS(GRE),1
Skippack 3,Provisional,JUSTIN L MAGILL(CON),0
Skippack 3,Provisional,ERIC L SETTLE(FOR),0
Skippack 3,Provisional,Unresolved Write-In,0
Skippack 3,Total,ROBERT COWBURN(LIB),25
Skippack 3,Total,RICHARD L WEISS(GRE),17
Skippack 3,Total,JUSTIN L MAGILL(CON),10
Skippack 3,Total,ERIC L SETTLE(FOR),4
Skippack 3,Total,Unresolved Write-In,2
Springfield 1-1,Election Day,ROBERT COWBURN(LIB),****
Springfield 1-1,Election Day,RICHARD L WEISS(GRE),****
Springfield 1-1,Election Day,JUSTIN L MAGILL(CON),****
Springfield 1-1,Election Day,ERIC L SETTLE(FOR),****
Springfield 1-1,Election Day,Unresolved Write-In,****
Springfield 1-1,Mail-in,ROBERT COWBURN(LIB),****
Springfield 1-1,Mail-in,RICHARD L WEISS(GRE),****
Springfield 1-1,Mail-in,JUSTIN L MAGILL(CON),****
Springfield 1-1,Mail-in,ERIC L SETTLE(FOR),****
Springfield 1-1,Mail-in,Unresolved Write-In,****
Springfield 1-1,Provisional,ROBERT COWBURN(LIB),****
Springfield 1-1,Provisional,RICHARD L WEISS(GRE),****
Springfield 1-1,Provisional,JUSTIN L MAGILL(CON),****
Springfield 1-1,Provisional,ERIC L SETTLE(FOR),****
Springfield 1-1,Provisional,Unresolved Write-In,****
Springfield 1-1,Total,ROBERT COWBURN(LIB),11
Springfield 1-1,Total,RICHARD L WEISS(GRE),15
Springfield 1-1,Total,JUSTIN L MAGILL(CON),3
Springfield 1-1,Total,ERIC L SETTLE(FOR),12
Springfield 1-1,Total,Unresolved Write-In,1
Springfield 1-2,Election Day,ROBERT COWBURN(LIB),11
Springfield 1-2,Election Day,RICHARD L WEISS(GRE),7
Springfield 1-2,Election Day,JUSTIN L MAGILL(CON),4
Springfield 1-2,Election Day,ERIC L SETTLE(FOR),2
Springfield 1-2,Election Day,Unresolved Write-In,0
Springfield 1-2,Mail-in,ROBERT COWBURN(LIB),0
Springfield 1-2,Mail-in,RICHARD L WEISS(GRE),4
Springfield 1-2,Mail-in,JUSTIN L MAGILL(CON),0
Springfield 1-2,Mail-in,ERIC L SETTLE(FOR),0
Springfield 1-2,Mail-in,Unresolved Write-In,1
Springfield 1-2,Provisional,ROBERT COWBURN(LIB),2
Springfield 1-2,Provisional,RICHARD L WEISS(GRE),0
Springfield 1-2,Provisional,JUSTIN L MAGILL(CON),0
Springfield 1-2,Provisional,ERIC L SETTLE(FOR),0
Springfield 1-2,Provisional,Unresolved Write-In,0
Springfield 1-2,Total,ROBERT COWBURN(LIB),13
Springfield 1-2,Total,RICHARD L WEISS(GRE),11
Springfield 1-2,Total,JUSTIN L MAGILL(CON),4
Springfield 1-2,Total,ERIC L SETTLE(FOR),2
Springfield 1-2,Total,Unresolved Write-In,1
Springfield 2-1,Election Day,ROBERT COWBURN(LIB),4
Springfield 2-1,Election Day,RICHARD L WEISS(GRE),1
Springfield 2-1,Election Day,JUSTIN L MAGILL(CON),2
Springfield 2-1,Election Day,ERIC L SETTLE(FOR),2
Springfield 2-1,Election Day,Unresolved Write-In,1
Springfield 2-1,Mail-in,ROBERT COWBURN(LIB),3
Springfield 2-1,Mail-in,RICHARD L WEISS(GRE),0
Springfield 2-1,Mail-in,JUSTIN L MAGILL(CON),2
Springfield 2-1,Mail-in,ERIC L SETTLE(FOR),2
Springfield 2-1,Mail-in,Unresolved Write-In,0
Springfield 2-1,Provisional,ROBERT COWBURN(LIB),0
Springfield 2-1,Provisional,RICHARD L WEISS(GRE),0
Springfield 2-1,Provisional,JUSTIN L MAGILL(CON),0
Springfield 2-1,Provisional,ERIC L SETTLE(FOR),0
Springfield 2-1,Provisional,Unresolved Write-In,0
Springfield 2-1,Total,ROBERT COWBURN(LIB),7
Springfield 2-1,Total,RICHARD L WEISS(GRE),1
Springfield 2-1,Total,JUSTIN L MAGILL(CON),4
Springfield 2-1,Total,ERIC L SETTLE(FOR),4
Springfield 2-1,Total,Unresolved Write-In,1
Springfield 2-2,Election Day,ROBERT COWBURN(LIB),****
Springfield 2-2,Election Day,RICHARD L WEISS(GRE),****
Springfield 2-2,Election Day,JUSTIN L MAGILL(CON),****
Springfield 2-2,Election Day,ERIC L SETTLE(FOR),****
Springfield 2-2,Election Day,Unresolved Write-In,****
Springfield 2-2,Mail-in,ROBERT COWBURN(LIB),****
Springfield 2-2,Mail-in,RICHARD L WEISS(GRE),****
Springfield 2-2,Mail-in,JUSTIN L MAGILL(CON),****
Springfield 2-2,Mail-in,ERIC L SETTLE(FOR),****
Springfield 2-2,Mail-in,Unresolved Write-In,****
Springfield 2-2,Provisional,ROBERT COWBURN(LIB),****
Springfield 2-2,Provisional,RICHARD L WEISS(GRE),****
Springfield 2-2,Provisional,JUSTIN L MAGILL(CON),****
Springfield 2-2,Provisional,ERIC L SETTLE(FOR),****
Springfield 2-2,Provisional,Unresolved Write-In,****
Springfield 2-2,Total,ROBERT COWBURN(LIB),8
Springfield 2-2,Total,RICHARD L WEISS(GRE),12
Springfield 2-2,Total,JUSTIN L MAGILL(CON),3
Springfield 2-2,Total,ERIC L SETTLE(FOR),3
Springfield 2-2,Total,Unresolved Write-In,2
Springfield 2-3,Election Day,EUGENE DEPASQUALE(DEM),****
Springfield 2-3,Election Day,DAVE SUNDAY(REP),****
Springfield 2-3,Mail-in,EUGENE DEPASQUALE(DEM),****
Springfield 2-3,Mail-in,DAVE SUNDAY(REP),****
Springfield 2-3,Provisional,EUGENE DEPASQUALE(DEM),****
Springfield 2-3,Provisional,DAVE SUNDAY(REP),****
Springfield 2-3,Total,EUGENE DEPASQUALE(DEM),344
Springfield 2-3,Total,DAVE SUNDAY(REP),121
Springfield 3-1,Election Day,EUGENE DEPASQUALE(DEM),****
Springfield 3-1,Election Day,DAVE SUNDAY(REP),****
Springfield 3-1,Mail-in,EUGENE DEPASQUALE(DEM),****
Springfield 3-1,Mail-in,DAVE SUNDAY(REP),****
Springfield 3-1,Provisional,EUGENE DEPASQUALE(DEM),****
Springfield 3-1,Provisional,DAVE SUNDAY(REP),****
Springfield 3-1,Total,EUGENE DEPASQUALE(DEM),628
Springfield 3-1,Total,DAVE SUNDAY(REP),425
