precinct,method,candidate,votes
Skippack 2,Total,ROBERT P CASEY JR(DEM),"1,262"
Skippack 2,Total,DAVE MCCORMICK(REP),"1,194"
Skippack 3,Election Day,ROBERT P CASEY JR(DEM),577
Skippack 3,Election Day,DAVE MCCORMICK(REP),815
Skippack 3,Mail-in,ROBERT P CASEY JR(DEM),674
Skippack 3,Mail-in,DAVE MCCORMICK(REP),452
Skippack 3,Provisional,ROBERT P CASEY JR(DEM),6
Skippack 3,Provisional,DAVE MCCORMICK(REP),5
Skippack 3,Total,ROBERT P CASEY JR(DEM),"1,257"
Skippack 3,Total,DAVE MCCORMICK(REP),"1,272"
Springfield 1-1,Election Day,ROBERT P CASEY JR(DEM),****
Springfield 1-1,Election Day,DAVE MCCORMICK(REP),****
Springfield 1-1,Mail-in,ROBERT P CASEY JR(DEM),****
Springfield 1-1,Mail-in,DAVE MCCORMICK(REP),****
Springfield 1-1,Provisional,ROBERT P CASEY JR(DEM),****
Springfield 1-1,Provisional,DAVE MCCORMICK(REP),****
Springfield 1-1,Total,ROBERT P CASEY JR(DEM),890
Springfield 1-1,Total,DAVE MCCORMICK(REP),264
Springfield 1-2,Election Day,ROBERT P CASEY JR(DEM),573
Springfield 1-2,Election Day,DAVE MCCORMICK(REP),377
Springfield 1-2,Mail-in,ROBERT P CASEY JR(DEM),322
Springfield 1-2,Mail-in,DAVE MCCORMICK(REP),107
Springfield 1-2,Provisional,ROBERT P CASEY JR(DEM),6
Springfield 1-2,Provisional,DAVE MCCORMICK(REP),4
Springfield 1-2,Total,ROBERT P CASEY JR(DEM),901
Springfield 1-2,Total,DAVE MCCORMICK(REP),488
Springfield 2-1,Election Day,ROBERT P CASEY JR(DEM),422
Springfield 2-1,Election Day,DAVE MCCORMICK(REP),149
Springfield 2-1,Mail-in,ROBERT P CASEY JR(DEM),252
Springfield 2-1,Mail-in,DAVE MCCORMICK(REP),24
Springfield 2-1,Provisional,ROBERT P CASEY JR(DEM),10
Springfield 2-1,Provisional,DAVE MCCORMICK(REP),5
Springfield 2-1,Total,ROBERT P CASEY JR(DEM),684
Springfield 2-1,Total,DAVE MCCORMICK(REP),178
Springfield 2-2,Election Day,ROBERT P CASEY JR(DEM),****
Springfield 2-2,Election Day,DAVE MCCORMICK(REP),****
Springfield 2-2,Mail-in,ROBERT P CASEY JR(DEM),****
Springfield 2-2,Mail-in,DAVE MCCORMICK(REP),****
Springfield 2-2,Provisional,ROBERT P CASEY JR(DEM),****
Springfield 2-2,Provisional,DAVE MCCORMICK(REP),****
Springfield 2-2,Total,ROBERT P CASEY JR(DEM),628
Springfield 2-2,Total,DAVE MCCORMICK(REP),150
Skippack 2,Election Day,JOHN C THOMAS(LIB),17
Skippack 2,Election Day,LEILA HAZOU(GRE),4
Skippack 2,Election Day,MARTY SELKER(CON),4
Skippack 2,Election Day,Unresolved Write-In,0
Skippack 2,Mail-in,JOHN C THOMAS(LIB),6
Skippack 2,Mail-in,LEILA HAZOU(GRE),7
Skippack 2,Mail-in,MARTY SELKER(CON),1
Skippack 2,Mail-in,Unresolved Write-In,1
Skippack 2,Provisional,JOHN C THOMAS(LIB),0
Skippack 2,Provisional,LEILA HAZOU(GRE),0
Skippack 2,Provisional,MARTY SELKER(CON),0
Skippack 2,Provisional,Unresolved Write-In,0
Skippack 2,Total,JOHN C THOMAS(LIB),23
Skippack 2,Total,LEILA HAZOU(GRE),11
Skippack 2,Total,MARTY SELKER(CON),5
Skippack 2,Total,Unresolved Write-In,1
Skippack 3,Election Day,JOHN C THOMAS(LIB),16
Skippack 3,Election Day,LEILA HAZOU(GRE),7
Skippack 3,Election Day,MARTY SELKER(CON),8
Skippack 3,Election Day,Unresolved Write-In,0
Skippack 3,Mail-in,JOHN C THOMAS(LIB),6
Skippack 3,Mail-in,LEILA HAZOU(GRE),6
Skippack 3,Mail-in,MARTY SELKER(CON),0
Skippack 3,Mail-in,Unresolved Write-In,1
Skippack 3,Provisional,JOHN C THOMAS(LIB),0
Skippack 3,Provisional,LEILA HAZOU(GRE),1
Skippack 3,Provisional,MARTY SELKER(CON),0
Skippack 3,Provisional,Unresolved Write-In,0
Skippack 3,Total,JOHN C THOMAS(LIB),22
Skippack 3,Total,LEILA HAZOU(GRE),14
Skippack 3,Total,MARTY SELKER(CON),8
Skippack 3,Total,Unresolved Write-In,1
Springfield 1-1,Election Day,JOHN C THOMAS(LIB),****
Springfield 1-1,Election Day,LEILA HAZOU(GRE),****
Springfield 1-1,Election Day,MARTY SELKER(CON),****
Springfield 1-1,Election Day,Unresolved Write-In,****
Springfield 1-1,Mail-in,JOHN C THOMAS(LIB),****
Springfield 1-1,Mail-in,LEILA HAZOU(GRE),****
Springfield 1-1,Mail-in,MARTY SELKER(CON),****
Springfield 1-1,Mail-in,Unresolved Write-In,****
Springfield 1-1,Provisional,JOHN C THOMAS(LIB),****
Springfield 1-1,Provisional,LEILA HAZOU(GRE),****
Springfield 1-1,Provisional,MARTY SELKER(CON),****
Springfield 1-1,Provisional,Unresolved Write-In,****
Springfield 1-1,Total,JOHN C THOMAS(LIB),11
Springfield 1-1,Total,LEILA HAZOU(GRE),15
Springfield 1-1,Total,MARTY SELKER(CON),5
Springfield 1-1,Total,Unresolved Write-In,1
Springfield 1-2,Election Day,JOHN C THOMAS(LIB),12
Springfield 1-2,Election Day,LEILA HAZOU(GRE),8
Springfield 1-2,Election Day,MARTY SELKER(CON),0
Springfield 1-2,Election Day,Unresolved Write-In,0
Springfield 1-2,Mail-in,JOHN C THOMAS(LIB),1
Springfield 1-2,Mail-in,LEILA HAZOU(GRE),3
Springfield 1-2,Mail-in,MARTY SELKER(CON),0
Springfield 1-2,Mail-in,Unresolved Write-In,0
Springfield 1-2,Provisional,JOHN C THOMAS(LIB),1
Springfield 1-2,Provisional,LEILA HAZOU(GRE),0
Springfield 1-2,Provisional,MARTY SELKER(CON),0
Springfield 1-2,Provisional,Unresolved Write-In,0
Springfield 1-2,Total,JOHN C THOMAS(LIB),14
Springfield 1-2,Total,LEILA HAZOU(GRE),11
Springfield 1-2,Total,MARTY SELKER(CON),0
Springfield 1-2,Total,Unresolved Write-In,0
Springfield 2-1,Election Day,JOHN C THOMAS(LIB),4
Springfield 2-1,Election Day,LEILA HAZOU(GRE),2
Springfield 2-1,Election Day,MARTY SELKER(CON),1
Springfield 2-1,Election Day,Unresolved Write-In,1
Springfield 2-1,Mail-in,JOHN C THOMAS(LIB),2
Springfield 2-1,Mail-in,LEILA HAZOU(GRE),0
Springfield 2-1,Mail-in,MARTY SELKER(CON),2
Springfield 2-1,Mail-in,Unresolved Write-In,0
Springfield 2-1,Provisional,JOHN C THOMAS(LIB),0
Springfield 2-1,Provisional,LEILA HAZOU(GRE),0
Springfield 2-1,Provisional,MARTY SELKER(CON),0
Springfield 2-1,Provisional,Unresolved Write-In,0
Springfield 2-1,Total,JOHN C THOMAS(LIB),6
Springfield 2-1,Total,LEILA HAZOU(GRE),2
Springfield 2-1,Total,MARTY SELKER(CON),3
Springfield 2-1,Total,Unresolved Write-In,1
Springfield 2-2,Election Day,JOHN C THOMAS(LIB),****
Springfield 2-2,Election Day,LEILA HAZOU(GRE),****
Springfield 2-2,Election Day,MARTY SELKER(CON),****
Springfield 2-2,Election Day,Unresolved Write-In,****
Springfield 2-2,Mail-in,JOHN C THOMAS(LIB),****
Springfield 2-2,Mail-in,LEILA HAZOU(GRE),****
Springfield 2-2,Mail-in,MARTY SELKER(CON),****
Springfield 2-2,Mail-in,Unresolved Write-In,****
Springfield 2-2,Provisional,JOHN C THOMAS(LIB),****
Springfield 2-2,Provisional,LEILA HAZOU(GRE),****
Springfield 2-2,Provisional,MARTY SELKER(CON),****
Springfield 2-2,Provisional,Unresolved Write-In,****
Springfield 2-2,Total,JOHN C THOMAS(LIB),5
Springfield 2-2,Total,LEILA HAZOU(GRE),16
Springfield 2-2,Total,MARTY SELKER(CON),1
Springfield 2-2,Total,Unresolved Write-In,1
Springfield 2-3,Election Day,ROBERT P CASEY JR(DEM),****
Springfield 2-3,Election Day,DAVE MCCORMICK(REP),****
Springfield 2-3,Mail-in,ROBERT P CASEY JR(DEM),****
Springfield 2-3,Mail-in,DAVE MCCORMICK(REP),****
Springfield 2-3,Provisional,ROBERT P CASEY JR(DEM),****
Springfield 2-3,Provisional,DAVE MCCORMICK(REP),****
Springfield 2-3,Total,ROBERT P CASEY JR(DEM),359
Springfield 2-3,Total,DAVE MCCORMICK(REP),111
Springfield 3-1,Election Day,ROBERT P CASEY JR(DEM),****
Springfield 3-1,Election Day,DAVE MCCORMICK(REP),****
Springfield 3-1,Mail-in,ROBERT P CASEY JR(DEM),****
Springfield 3-1,Mail-in,DAVE MCCORMICK(REP),****
Springfield 3-1,Provisional,ROBERT P CASEY JR(DEM),****
Springfield 3-1,Provisional,DAVE MCCORMICK(REP),****
Springfield 3-1,Total,ROBERT P CASEY JR(DEM),687
Springfield 3-1,Total,DAVE MCCORMICK(REP),382
Springfield 3-2,Election Day,ROBERT P CASEY JR(DEM),524
Springfield 3-2,Election Day,DAVE MCCORMICK(REP),327
Springfield 3-2,Mail-in,ROBERT P CASEY JR(DEM),238
Springfield 3-2,Mail-in,DAVE MCCORMICK(REP),63
Springfield 3-2,Provisional,ROBERT P CASEY JR(DEM),7
Springfield 3-2,Provisional,DAVE MCCORMICK(REP),4
Springfield 3-2,Total,ROBERT P CASEY JR(DEM),769
Springfield 3-2,Total,DAVE MCCORMICK(REP),394
Springfield 4-1,Election Day,ROBERT P CASEY JR(DEM),****
Springfield 4-1,Election Day,DAVE MCCORMICK(REP),****
Springfield 4-1,Mail-in,ROBERT P CASEY JR(DEM),****
Springfield 4-1,Mail-in,DAVE MCCORMICK(REP),****
Springfield 4-1,Provisional,ROBERT P CASEY JR(DEM),****
Springfield 4-1,Provisional,DAVE MCCORMICK(REP),****
Springfield 4-1,Total,ROBERT P CASEY JR(DEM),502
Springfield 4-1,Total,DAVE MCCORMICK(REP),209
Springfield 4-2,Election Day,ROBERT P CASEY JR(DEM),****
Springfield 4-2,Election Day,DAVE MCCORMICK(REP),****
Springfield 4-2,Mail-in,ROBERT P CASEY JR(DEM),****
Springfield 4-2,Mail-in,DAVE MCCORMICK(REP),****
Springfield 4-2,Provisional,ROBERT P CASEY JR(DEM),****
Springfield 4-2,Provisional,DAVE MCCORMICK(REP),****
Springfield 4-2,Total,ROBERT P CASEY JR(DEM),787
Springfield 4-2,Total,DAVE MCCORMICK(REP),319
Springfield 5-1,Election Day,ROBERT P CASEY JR(DEM),****
Springfield 5-1,Election Day,DAVE MCCORMICK(REP),****
Springfield 5-1,Mail-in,ROBERT P CASEY JR(DEM),****
Springfield 5-1,Mail-in,DAVE MCCORMICK(REP),****
Springfield 5-1,Provisional,ROBERT P CASEY JR(DEM),****
Springfield 5-1,Provisional,DAVE MCCORMICK(REP),****
Springfield 5-1,Total,ROBERT P CASEY JR(DEM),953
Springfield 5-1,Total,DAVE MCCORMICK(REP),236
Springfield 2-3,Election Day,JOHN C THOMAS(LIB),****
Springfield 2-3,Election Day,LEILA HAZOU(GRE),****
Springfield 2-3,Election Day,MARTY SELKER(CON),****
Springfield 2-3,Election Day,Unresolved Write-In,****
Springfield 2-3,Mail-in,JOHN C THOMAS(LIB),****
