precinct,method,candidate,votes
Cumulative,Total,BRIAN FITZPATRICK(REP),0
East Greenville,Election Day,Unresolved Write-In,2
East Greenville,Mail-in,Unresolved Write-In,0
East Greenville,Provisional,Unresolved Write-In,0
East Greenville,Total,Unresolved Write-In,2
Hatfield Borough,Election Day,Unresolved Write-In,****
Hatfield Borough,Mail-in,Unresolved Write-In,****
Hatfield Borough,Provisional,Unresolved Write-In,****
Hatfield Borough,Total,Unresolved Write-In,5
Pennsburg,Election Day,Unresolved Write-In,****
Pennsburg,Mail-in,Unresolved Write-In,****
Pennsburg,Provisional,Unresolved Write-In,****
Pennsburg,Total,Unresolved Write-In,4
Red Hill,Election Day,Unresolved Write-In,2
Red Hill,Mail-in,Unresolved Write-In,1
Red Hill,Provisional,Unresolved Write-In,0
Red Hill,Total,Unresolved Write-In,3
Souderton 1,Election Day,Unresolved Write-In,****
Souderton 1,Mail-in,Unresolved Write-In,****
Souderton 1,Provisional,Unresolved Write-In,****
Souderton 1,Total,Unresolved Write-In,3
Upper Hanover 2,Election Day,Unresolved Write-In,****
Upper Hanover 2,Mail-in,Unresolved Write-In,****
Upper Hanover 2,Provisional,Unresolved Write-In,****
Upper Hanover 2,Total,Unresolved Write-In,2
Upper Hanover 3,Election Day,Unresolved Write-In,****
Upper Hanover 3,Mail-in,Unresolved Write-In,****
Upper Hanover 3,Provisional,Unresolved Write-In,****
Upper Hanover 3,Total,Unresolved Write-In,5
Cumulative,Election Day,Unresolved Write-In,0
Cumulative,Mail-in,Unresolved Write-In,0
Cumulative,Provisional,Unresolved Write-In,0
Cumulative,Total,Unresolved Write-In,0
Souderton 2,Election Day,ASHLEY EHASZ(DEM),369
Souderton 2,Election Day,BRIAN FITZPATRICK(REP),602
Souderton 2,Mail-in,ASHLEY EHASZ(DEM),158
Souderton 2,Mail-in,BRIAN FITZPATRICK(REP),113
Souderton 2,Provisional,ASHLEY EHASZ(DEM),8
Souderton 2,Provisional,BRIAN FITZPATRICK(REP),3
Souderton 2,Total,ASHLEY EHASZ(DEM),535
Souderton 2,Total,BRIAN FITZPATRICK(REP),718
Souderton 3,Election Day,ASHLEY EHASZ(DEM),****
Souderton 3,Election Day,BRIAN FITZPATRICK(REP),****
Souderton 3,Mail-in,ASHLEY EHASZ(DEM),****
Souderton 3,Mail-in,BRIAN FITZPATRICK(REP),****
Souderton 3,Provisional,ASHLEY EHASZ(DEM),****
Souderton 3,Provisional,BRIAN FITZPATRICK(REP),****
Souderton 3,Total,ASHLEY EHASZ(DEM),439
Souderton 3,Total,BRIAN FITZPATRICK(REP),555
Telford,Election Day,ASHLEY EHASZ(DEM),387
Telford,Election Day,BRIAN FITZPATRICK(REP),599
Telford,Mail-in,ASHLEY EHASZ(DEM),213
Telford,Mail-in,BRIAN FITZPATRICK(REP),104
Telford,Provisional,ASHLEY EHASZ(DEM),10
