precinct,candidate,votes
Summit Hill Borough - Third Ward/First,JOHN C THOMAS (LIB),6
Summit Hill Borough - Third Ward/First,LEILA HAZOU (GRN),3
Summit Hill Borough - Third Ward/First,MARTY SELKER (CON),3
Summit Hill Borough - Third Ward/First,ROBERT P CASEY JR (DEM),188
Summit Hill Borough - Third Ward/Second,DAVE MCCORMICK (REP),196
Summit Hill Borough - Third Ward/Second,JOHN C THOMAS (LIB),2
Summit Hill Borough - Third Ward/Second,LEILA HAZOU (GRN),4
Summit Hill Borough - Third Ward/Second,MARTY SELKER (CON),0
Summit Hill Borough - Third Ward/Second,ROBERT P CASEY JR (DEM),99
Towamensing Township - North,DAVE MCCORMICK (REP),653
Towamensing Township - North,JOHN C THOMAS (LIB),21
Towamensing Township - North,LEILA HAZOU (GRN),7
Towamensing Township - North,MARTY SELKER (CON),4
Towamensing Township - North,ROBERT P CASEY JR (DEM),293
Towamensing Township - South-1,DAVE MCCORMICK (REP),697
Towamensing Township - South-1,JOHN C THOMAS (LIB),13
Towamensing Township - South-1,LEILA HAZOU (GRN),6
Towamensing Township - South-1,MARTY SELKER (CON),4
Towamensing Township - South-1,ROBERT P CASEY JR (DEM),250
Towamensing Township - South-2,DAVE MCCORMICK (REP),581
Towamensing Township - South-2,JOHN C THOMAS (LIB),5
Towamensing Township - South-2,LEILA HAZOU (GRN),5
Towamensing Township - South-2,MARTY SELKER (CON),2
Towamensing Township - South-2,ROBERT P CASEY JR (DEM),234
Weatherly Borough - East,DAVE MCCORMICK (REP),528
Weatherly Borough - East,JOHN C THOMAS (LIB),16
Weatherly Borough - East,LEILA HAZOU (GRN),7
Weatherly Borough - East,MARTY SELKER (CON),2
Weatherly Borough - East,ROBERT P CASEY JR (DEM),245
Weatherly Borough - West,DAVE MCCORMICK (REP),293
Weatherly Borough - West,JOHN C THOMAS (LIB),8
Weatherly Borough - West,LEILA HAZOU (GRN),1
Weatherly Borough - West,MARTY SELKER (CON),1
Weatherly Borough - West,ROBERT P CASEY JR (DEM),102
Weissport Borough,DAVE MCCORMICK (REP),100
Weissport Borough,JOHN C THOMAS (LIB),8
Weissport Borough,LEILA HAZOU (GRN),2
Weissport Borough,MARTY SELKER (CON),0
Weissport Borough,ROBERT P CASEY JR (DEM),48
